Species,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
(Audubon's Warbler) Yellow-rumped Warbler,16,44,35,39,54,37,50,41,35,42,41,22,27,22,38,17,28,47,67,52,229,151,195,201,482,478,444,317,530,481,679,781,564,657,651,601,627,538,677,563,700,611,622,657,595,591,685,682
(Audubon's Warbler) Yellow-rumped Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
(Gray-headed Junco) Dark-eyed Junco,29,33,36,29,53,30,60,58,58,58,35,28,25,25,26,17,28,34,35,31,97,70,97,56,362,293,265,305,355,312,633,676,659,555,522,484,861,617,822,798,469,568,349,498,504,429,511,518
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
(Red-shafted Flicker) Northern Flicker,24,24,34,26,48,34,38,60,70,95,67,38,53,54,59,50,53,59,69,81,160,116,53,90,226,303,365,260,265,238,346,411,519,260,248,215,328,419,567,470,347,334,315,338,337,384,377,483
(unid. Myrtle/Audubon's) Yellow-rumped Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
(unid. Red/Yellow Shafted) Northern Flicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,4,1,7,0,3,1,0,0,1,6,4
(Yellow-shafted Flicker) Northern Flicker,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,2,3,4,0,0,0,3,1,1,5,3,0,2,8,2,4,0,1,2,1,2,1,3,2,4,0
Alder Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
American Avocet,0,0,3,1,2,14,10,5,11,4,2,3,5,0,10,5,2,3,16,17,24,16,8,24,18,35,35,42,20,9,26,31,20,23,24,32,16,18,14,35,10,6,9,21,8,15,36,18
